,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
372702,2015-06-29,ZEEL,505537,A ,351.75,357.7,349.75,356.05,359.45,1175,13674482.0
375675,2015-06-30,ZEEL,505537,A ,356.7,368.2,355.55,366.9,356.05,2881,50102836.0
378669,2015-07-01,ZEEL,505537,A ,367.6,367.75,362.4,363.75,366.9,1077,14766022.0
381696,2015-07-02,ZEEL,505537,A ,364.0,371.0,364.0,369.35,363.75,2589,36074042.0
384748,2015-07-03,ZEEL,505537,A ,369.55,370.3,367.75,369.15,369.35,1220,22807506.0
388029,2015-07-06,ZEEL,505537,A ,370.0,373.9,363.0,373.1,369.15,2110,34800501.0
391144,2015-07-07,ZEEL,505537,A ,374.2,374.4,365.45,368.15,373.1,1562,29029831.0
394235,2015-07-08,ZEEL,505537,A ,367.0,367.0,354.7,356.15,368.15,2197,39507762.0
397281,2015-07-09,ZEEL,505537,A ,358.0,358.0,350.2,352.55,356.15,921,11833650.0
400373,2015-07-10,ZEEL,505537,A ,354.1,363.95,352.0,361.1,352.55,1318,20105808.0
403436,2015-07-13,ZEEL,505537,A ,361.15,379.65,361.0,373.6,361.1,2886,130930226.0
406521,2015-07-14,ZEEL,505537,A ,373.75,375.75,367.4,374.65,373.6,1829,35973072.0
409642,2015-07-15,ZEEL,505537,A ,374.65,385.7,373.5,375.75,374.65,8303,147996183.0
412753,2015-07-16,ZEEL,505537,A ,381.0,382.7,376.25,381.9,375.75,1978,37976106.0
415843,2015-07-17,ZEEL,505537,A ,381.0,384.65,374.0,377.3,381.9,1936,32488606.0
418966,2015-07-20,ZEEL,505537,A ,377.5,381.2,371.15,378.75,377.3,1426,19843035.0
422035,2015-07-21,ZEEL,505537,A ,379.85,388.85,378.4,386.7,378.75,2432,43329662.0
425116,2015-07-22,ZEEL,505537,A ,386.75,407.2,386.0,406.0,386.7,5162,93869708.0
428228,2015-07-23,ZEEL,505537,A ,409.9,410.45,394.1,395.45,406.0,2041,37448741.0
431334,2015-07-24,ZEEL,505537,A ,395.75,402.4,388.65,391.6,395.45,2842,25038402.0
434455,2015-07-27,ZEEL,505537,A ,391.95,400.1,390.35,393.05,391.6,1829,29538630.0
437512,2015-07-28,ZEEL,505537,A ,399.85,400.4,389.3,391.9,393.05,2012,24702224.0
440531,2015-07-29,ZEEL,505537,A ,395.1,401.15,392.7,400.05,391.9,1470,23021697.0
443627,2015-07-30,ZEEL,505537,A ,401.0,404.25,395.95,399.1,400.05,1311,25620836.0
446736,2015-07-31,ZEEL,505537,A ,405.0,405.0,394.35,398.4,399.1,1328,17803075.0
449884,2015-08-03,ZEEL,505537,A ,399.35,402.0,396.6,398.3,398.4,857,14324421.0
453064,2015-08-04,ZEEL,505537,A ,395.0,405.2,395.0,402.8,398.3,2483,39279420.0
456256,2015-08-05,ZEEL,505537,A ,408.0,415.75,407.7,413.2,402.8,2978,59581854.0
459475,2015-08-06,ZEEL,505537,A ,413.05,419.4,409.0,414.75,413.2,1879,37410507.0
462665,2015-08-07,ZEEL,505537,A ,415.0,417.4,407.5,410.1,414.75,1384,21649191.0
465870,2015-08-10,ZEEL,505537,A ,410.0,414.95,405.9,408.9,410.1,1137,23352012.0
469096,2015-08-11,ZEEL,505537,A ,409.4,419.0,409.25,415.15,408.9,1476,26156578.0
472261,2015-08-12,ZEEL,505537,A ,412.6,418.95,399.6,401.4,415.15,2053,41350437.0
475388,2015-08-13,ZEEL,505537,A ,401.5,410.9,399.2,400.85,401.4,1480,24298224.0
478504,2015-08-14,ZEEL,505537,A ,400.0,419.9,400.0,418.4,400.85,2509,34869995.0
481605,2015-08-17,ZEEL,505537,A ,419.6,419.6,406.7,409.35,418.4,1512,16827159.0
484754,2015-08-18,ZEEL,505537,A ,414.95,414.95,404.2,406.3,409.35,1143,17907963.0
487880,2015-08-19,ZEEL,505537,A ,411.0,411.0,399.0,405.55,406.3,939,12968694.0
491010,2015-08-20,ZEEL,505537,A ,408.0,408.0,391.4,394.4,405.55,1748,24984951.0
494084,2015-08-21,ZEEL,505537,A ,390.05,390.05,377.6,383.05,394.4,2439,51819369.0
497145,2015-08-24,ZEEL,505537,A ,374.0,374.0,347.0,359.65,383.05,3406,39000201.0
500177,2015-08-25,ZEEL,505537,A ,360.0,371.8,355.6,367.15,359.65,4232,49140584.0
